name,x1 (km),x2 (km),x3 (km),v1 (km/s),v2 (km/s),v3 (km/s),m (kg),diameter,color,radius,<start>
Sun,0.0,0.0,0.0,0.0,0.0,0.0,1.99E30,1392700,YELLOW,20,<next>
Mercury,-5.926991083692654E7,-1.71206791929176E7,4093552.491206314,4.216811939168024,-43.86112764588479,-3.8973450976783806,3.3E23,4879,YELLOW,7,<next>
Venus,8.958354432484372E7,-6.066743910433783E7,-5970588.116380552,19.308015078368598,29.21961594931795,-0.7235450768459476,4.87E24,12104,YELLOW,9,<next>
Earth,-1.5020805532576457E8,-4617463.877373692,32226.5326731817,0.5085502667773304,-29.885296601291707,0.0033145752448010385,5.97E24,12742,YELLOW,9,<next>
Moon,-1.5024290542684639E8,-4314013.729587186,66666.66148221848,-0.13475060023856206,-30.520948187249576,-0.04976749125843562,7.35E22,3475,YELLOW,2,<next>
Mars,1.3413799691755697E8,-1.6204660584049782E8,-6694161.824118528,19.417359015205204,17.48423058489682,-0.11068906363815624,6.42E23,6779,YELLOW,6,<next>
Jupiter,4.432663641736481E8,6.035993479294441E8,-1.2428966024366343E7,-10.666382152409623,8.394133495833374,0.20429815091807588,1.9E27,139820,YELLOW,17,<next>
Saturn,1.3634566546139219E9,-4.8581386172249484E8,-4.5985991691354714E7,2.6882534044567548,9.08960786833382,-0.26461094259544155,5.68E26,116460,YELLOW,15,<next>
Titan,1.363440092087368E9,-4.868236901094521E8,-4.5579168703624904E7,7.218058164094525,11.843061237846944,-2.151007278288119,1.35E23,5150,YELLOW,2,<next>
Neptune,4.46082472346006E9,-2.258758844708798E8,-9.830790022430614E7,0.2383930075242641,5.4646950314988985,-0.11846517583532253,1.02E26,49244,YELLOW,15,<next>
Uranus,1.7932417276504948E9,2.3172414907052937E9,-1.456830655659327E7,-5.441624587876284,3.845509239713328,0.08473218203408675,8.68E25,50724,YELLOW,14,<next>